name,emoji,category,price,unit,image_url,group_key,in_stock,featured,sort_order,id
GoodDay Biscuit,,Snacks,10,per pack,,GoodDay Biscuit,true,false,2,2
GoodDay Biscuit,,Snacks,20,per pack,,GoodDay Biscuit,true,false,3,3
GoodDay Biscuit,,Snacks,50,per pack,,GoodDay Biscuit,true,false,4,4
GoodDay Biscuit chocolate,,Snacks,10,per pack,https://m.media-amazon.com/images/I/51rF4C5N0ZL.jpg,GoodDay Biscuit chocolate,true,false,5,5
Britannia Bourbon,,Snacks,10,per pack,https://penjumart.com/wp-content/uploads/2026/01/Britania-bourbon-Biscuit-%E2%82%B910-Pack-4d1d.jpg,Britannia Bourbon,true,false,6,6
Britannia Bourbon,,Snacks,20,per pack,,Britannia Bourbon,true,false,7,7
milk bikies,,snacks,5,per pack,https://m.media-amazon.com/images/I/717KdiU2NyL.jpg,milk bikies,true,false,8,8
milk bikies,,snacks,10,per pack,,milk bikies,true,false,9,9
milk bikies,,snacks,30,per pack,,milk bikies,true,false,10,10
milk bikies cream,,snacks,10,per pack,https://pallapattionline.com/wp-content/uploads/2025/01/1000094538.png,milk bikies cream,true,false,11,11
Marie Gold,,Snacks,5,per pack,https://m.media-amazon.com/images/I/71oNn1KQMbL.jpg,Marie Gold,true,false,12,12
Marie Gold,,Snacks,10,per pack,,Marie Gold,true,false,13,13
Marie Gold,,Snacks,30,per pack,,Marie Gold,true,false,14,14
tiger krunch,,snacks,5,per pack,https://andamangreengrocers.com/wp-content/uploads/2024/06/crunch-300x300.webp,tiger krunch,true,false,15,15
tiger cream,,snacks,5,per pack,https://i.pinimg.com/originals/b9/f9/c2/b9f9c2e024815aa1379b39303dcd5484.jpg,tiger cream,true,false,16,16
tiger cream,,snacks,5,per pack,,tiger cream,true,false,17,17
tiger cream,,snacks,5,per pack,,tiger cream,true,false,18,18
tiger cream,,snacks,5,per pack,,tiger cream,true,false,19,19
Parle-G Biscuit,,Snacks,5,per pack,https://m.media-amazon.com/images/I/61kZskdmJzL.jpg,Parle-G Biscuit,true,false,20,20
Parle-G Biscuit,,Snacks,10,per pack,,Parle-G Biscuit,true,false,21,21
50-50,,Snacks,5,per pack,https://m.media-amazon.com/images/I/51-h5JxW3hL.jpg,50-50,true,false,22,22
50-50,,Snacks,10,per pack,,50-50,true,false,23,23
jim jam,,snacks,10,per pack,https://regalplus.com/cdn/shop/files/jimjam.webp?v=1736527548&width=1080,jim jam,true,false,24,24
britania treat ,,snacks,10,per pack,https://www.quickpantry.in/cdn/shop/products/britannia-treat-chocolate-cream-biscuits-60-g-quick-pantry.jpg?v=1710538227&width=1214,britania treat,true,false,25,25
toastea (rusk),,snacks,10,per pack,https://www.vridhistores.com/uploads/2025/Apr/products/17453280629955.jpg,toastea (rusk),true,false,26,26
britania cake ,,snacks,15,per pack,https://a2zgrocer.com/wp-content/uploads/2024/11/image_JKW.webp,britania cake,true,false,27,27
happy happy,,Snacks,5,per pack,https://www.vishalmegamart.com/dw/image/v2/BGHT_PRD/on/demandware.static/-/Sites-vmm-fmcg-master-catalog/default/dw785be691/images/large/1310010424.jpg?sw=900&sh=900,happy happy,true,false,32,32
happy happy,,Snacks,10,per pack,,happy happy,true,false,33,33
crack jack,,Snacks,10,per pack,https://m.media-amazon.com/images/I/71Zp9udMcAL.jpg,crack jack,true,false,34,34
hide&seek,,snacks,30,per pack,https://services.kpnfresh.com/media/v1/products/images/38d0d60a-8250-4d21-bcca-adad965edb5b/parle-hide-seek-chocolate-chip-biscuits.webp?c_type=C1,hide&seek,true,false,35,35
sunfeast bounce,,snacks,5,per pack,https://silver-shades-25.github.io/cdn.shopify.com/s/files/1/0173/7644/4470/files/2_3b07b67d-e6bf-4db6-b4c6-d27cff908d2ba0c6.jpg?v=1618505376,sunfeast bounce,true,false,36,36
britania treat ,,Snacks,10,per pack,,britania treat,true,false,39,39
mom's magic,,Snacks,10,per pack,https://5.imimg.com/data5/SELLER/Default/2023/7/323266471/CM/YD/ST/192118753/whatsapp-image-2023-07-07-at-11-54-20-1000x1000.jpeg,mom's magic,true,false,40,40
Dark fantacy ,,Snacks,10,per pack,https://services.kpnfresh.com/media/v1/products/images/ad43020c-6b34-4a3f-b5c9-92603a0c731a/sunfeast-dark-fantasy-choco-fills-cookies.webp?c_type=C1,Dark fantacy ,true,false,41,41
Dark fantacy ,,snacks,40,per pack,,Dark fantacy ,true,false,42,42
Dark fantacy cream,,snacks,10,per pack,https://m.media-amazon.com/images/I/71Ak1hr63WL.jpg,Dark fantacy cream,true,false,43,43
marie light,,snacks,10,per pack,https://www.panchamrutha.com/cdn/shop/files/1_dc25124e-9519-4398-b7e0-79e3964d5834.jpg?v=1759397100&width=1080,marie light,true,false,44,44
marie light orange,,snacks,10,per pack,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/da/cms-assets/cms/product/e37e33cc-423c-49af-ac67-cacdf7d3f4de.jpg",marie light orange,true,false,45,45
oreo,,snacks,10,per pack,https://www.quickpantry.in/cdn/shop/products/cadbury-oreo-creame-biscuit-vanilla-46-3-g-quick-pantry.jpg?v=1710538227&width=1214,oreo,true,false,46,46
lays magic masala,,Snacks,5,per pack,https://gargdastak.com/wp-content/uploads/2022/04/laysa.jpg,lays magic masala,true,false,47,47
lays creamy onion,,Snacks,5,per pack,https://m.media-amazon.com/images/I/61TGmxFG8XL.jpg,lays creamy onion,true,false,48,48
lays tomato,,Snacks,5,per pack,https://www.kiranapoorti.com/image/cache/catalog/BISCUITS/spanish%20potato-550x550.jpeg,lays tomato,true,false,49,49
lays sweet&chilly,,snacks,5,per pack,https://m.media-amazon.com/images/I/718mIkrmCfL.jpg,lays sweet&chilly,true,false,50,50
lays salt,,snacks,5,per pack,https://m.media-amazon.com/images/I/61FXwBMClcL.jpg,lays salt,true,false,51,51
kurkure masala munch,,snacks,5,per pack,https://sku.anycart.com/m/i/weee--2838454,kurkure masala munch,true,false,52,52
kurkure tomato,,snacks,5,per pack,https://www.takoramart.com/_next/image?url=https://images.takoramart.com/products/1777987364748-KUREKURENAUGHTYRE-SEIZED9999.png&w=3840&q=75,kurkure tomato,true,false,53,53
bingo tedhe medhe,,Snacks,5,per pack,https://www.vishalmegamart.com/dw/image/v2/BGHT_PRD/on/demandware.static/-/Sites-vmm-fmcg-master-catalog/default/dw635d09b6/images/large/1310013277.jpg?sw=900&sh=900,bingo tedhe medhe,true,false,54,54
Murukku,,Snacks,20,per pack,https://t4.ftcdn.net/jpg/06/29/66/97/360_F_629669777_re8fZaGGLq8YxOSlSBoe3NS6uVE9V1dr.jpg,Murukku,true,false,55,55
Mixture,,Snacks,20,per pack,https://thumbs.dreamstime.com/b/navrattan-namkeen-mixture-indian-nimko-snack-spicy-sweet-farsaan-texture-background-pattern-street-food-baked-nuts-grains-416924927.jpg,Mixture,true,false,56,56
kaaraboonthi,,snacks,20,per pack,https://www.karkarafoods.com/media/items/Kara%20Boondi/telangana-snack-kara-boondi-1.jpeg,kaaraboonthi,true,false,57,57
